               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051074,            0.010276,            0.037826,            0.065883,             0.40489,            0.050884,            0.013477,            0.087525,            0.006833,            0.035088,             0.00297,             0.00297,             0.07327
                   1,            0.038169,           0.0075697,            0.028958,            0.080039,             0.36932,            0.078921,            0.014806,            0.076832,            0.008532,            0.052958,           0.0059497,           0.0059497,             0.04645
                   2,            0.035771,            0.007205,            0.029139,            0.050533,             0.37348,            0.039573,           0.0074569,            0.073425,           0.0069582,            0.043242,           0.0089282,           0.0089282,            0.019628
                   3,            0.036053,           0.0074203,            0.029592,            0.072196,             0.45316,            0.094612,            0.016563,            0.072125,           0.0066609,            0.043823,           0.0099956,           0.0099956,           0.0099956
                   4,            0.035254,           0.0072254,            0.027747,             0.20553,             0.29496,             0.17702,             0.05238,             0.06309,            0.007066,            0.027185,           0.0099956,           0.0099956,           0.0099956
                   5,             0.03326,           0.0069871,            0.026576,             0.10649,             0.56005,             0.09245,            0.015483,            0.064595,           0.0065631,            0.039922,           0.0099921,           0.0099921,           0.0099921
                   6,            0.032737,           0.0067517,            0.025754,             0.34981,              0.2838,              0.2243,             0.04761,             0.05745,           0.0076072,            0.030344,           0.0099877,           0.0099877,           0.0099877
                   7,            0.031584,           0.0066273,            0.024992,             0.25925,             0.46218,             0.25125,             0.05391,            0.056847,           0.0061907,            0.028272,           0.0099822,           0.0099822,           0.0099822
                   8,            0.031079,            0.006518,            0.024397,              0.4007,             0.49417,             0.39305,             0.11424,            0.052394,           0.0057498,            0.024233,           0.0099758,           0.0099758,           0.0099758
                   9,            0.030409,           0.0063833,            0.023893,             0.43028,              0.4158,             0.37305,             0.11675,            0.050932,           0.0059522,            0.026105,           0.0099685,           0.0099685,           0.0099685
                  10,             0.03001,           0.0064069,            0.023592,               0.419,             0.41803,             0.37366,             0.11552,            0.050746,           0.0062405,            0.025042,           0.0099601,           0.0099601,           0.0099601
                  11,            0.029588,           0.0062926,            0.023052,             0.52566,             0.45268,              0.4749,             0.15736,              0.0463,           0.0060085,            0.024911,           0.0099508,           0.0099508,           0.0099508
